,0
0,faa5ff5973d5d78ffa9f9741409d5f8d2242f33e0789ec6db2885f593b26a552
1,26d36bd380645314f6df1402b8ad8ad18eb6896d3b04e4f60085eecd78f2ffbf
2,dc5a19eac0a02dce8a57f769ea779052e052943906e0376ba11b6fb9ea4ad41b
3,7d2dfab4eb7875687ed137598d84be84a5ddb437a798578f9261158d7f78aca7
4,0c7f712169047ede4c17fcce87875d53b4dffb4344f6ee132587d6833c782ed8
5,df01f9d6bb9d3092c133f73732b2f6a2dd74cef25fc030b91c0ddcc7ff0680f6
6,6298f1136331588a02f660c7d4e3636670e02fd52a0d3a4c377bc211a44ffb7e
7,06feb75ad3de003523d2bf2b428b9b0ca37611aed669dea2b0c1875f4c02b932
8,6216de0c02097f77e6b9ca59a8ec313ecdd461e93c3650d263cbe2d9abe04f21
9,8d46045714ee87371d77f8ee6e310bae69aa2c07b6d6fa30b28405946ba238fd
10,ee427d245138e82321f80fc1fb74023a1740de747e6bef308e3d75427e4212d0
11,84ec4441922571b4da10ddd60fa5c8e715ff174024fde087d77f1ed4dd7aaf8c
12,0f87528c133a8da929e65a44d47fa0de6ec548fdb13bed9fc76eff62802e7bec
13,2ac8c1cc08bc4b07a47260f8797ef76066bec27c8a904ff1a6420bcc839bc12f
14,39226469eb1f17f761c9f2cb417b7649a83f5eb7138a83bfc5e22dd1b7400379
15,3293d3c8f104c1141638aeb91a04953063a667c3899b56ee51880cbbbf1347ba
16,fed228a05a43e46849937be51ee646d6e97e6780cf7392a66a794243e7a55f64
17,c5f30589b43276fbd1016f1d1689219b7f22f33f175ef0d8bdca0e03e35865ea
18,b216482206d782a4aa7db642e6f93fe52853ca26802d5c016c8b1f8b0f667056
19,5bc8b2dccfa367742198b3ca89fcd690b307f7194798f9455473835a1818365c
20,f5afc1e0422175a93ad61cda99122a6b5e3287899557c1aa6c7d887b2d838c79
21,c2e8957ca24cba14390f01e61e4c2d31f41b3df9d78da8c6040a7d03269718ab
22,1d15727ccdc533eea57c9ae219870d9d7c83ebddcadb2db87a68247aeada012c
23,86ad53a7d545f5e4c1a3283fd9db9a90cf0e131baa60af935063351a1a19f77d
24,1a9a6a94548848c3a0f7fcd0a3e679951e6a85ac43b174908a377ddc00ab4546
25,e2c108be29befd439ce0a8e551e56ca6e68f7025b33ddda2081c9d2474824a93
26,9e1326f905f4122b656df31249b0a78571f6ede11baddc4cc48d62cfdebf5690
27,fcde547a14b604d3ca9e503f3c1eb4c95a218ce4da5889a7fc232f95baf64cff
28,25bf6a2ce9ccd4870d3dec47a0fc17c9fc4ff0fdb35353d308f7d0af7289b0de
29,7819418a9a409c997a9f1201e50aeca88b9800f268d466658cc17e9f5dac5a48
30,06b90c05da6b55351ad27c4ca9c78dbd0153c1549897aee44906f6f916d3e7a8
31,a4479b4a851778750ba716e10665e22104c8e3f042c66d00eb8279328dc89027
32,4d7e7114d2fc4aaa461730a3af0198af5c1e6b2624210d04ac7ce967389c64b5
33,b9860600f5c6f6dc58e7381789b6c8f601b6e9abf1c44e327b074b72d74c6e21
34,2e62df391fc3a6abbbcd7bb686cd00502bc640449b27bb794377a03952626f60
35,cb8b6a1034fb3e7f27c765a024f03c972e3e7c12216ad43d990187df32160431
36,a5b99b22eca17b701e1b0a2d82f326c821e267b0f381d1bfe4a4c56afe0fe776
37,3dbf3ee3b1aa8d1abdd6cecf0c015417377f147115a69833b0cea9e7e6b0652d
38,a4e35ce31395b6b54fdf6dfb846e94092a6db3efd1456ab61b6b2ab6b7dd07fe
