,c1,c2,c3,c4,c5
0,9,68,8,11.0,32.0
1,40,57,62,13.0,14.0
2,57,34,62,29.0,58.0
3,33,11,71,43.0,2.0
4,38,32,9,57.0,61.0
5,32,60,33,13.0,69.0
6,42,26,38,57.0,45.0
7,47,40,71,29.0,62.0
8,18,2,21,8.0,42.0
9,52,26,10,49.0,57.0
10,24,8,37,17.0,62.0
11,45,9,17,67.0,66.0
12,60,36,8,61.0,49.0
13,52,45,66,62.0,44.0
14,35,28,8,69.0,2.0
15,70,69,41,60.0,2.0
16,25,6,17,22.0,53.0
17,33,8,31,39.0,2.0
18,30,33,17,55.0,0.0
19,47,55,62,24.0,56.0
20,28,8,69,30.0,46.0
21,23,52,47,18.0,69.0
22,9,59,8,54.0,47.0
23,32,53,57,16.0,67.0
24,6,16,27,33.0,49.0
25,37,22,67,43.0,13.0
26,31,38,69,33.0,62.0
27,7,62,60,11.0,53.0
28,71,33,73,45.0,11.0
29,60,8,66,9.0,18.0
30,43,2,39,49.0,69.0
31,9,11,26,69.0,73.0
32,43,58,47,31.0,7.0
33,69,38,61,6.0,13.0
34,8,73,9,17.0,68.0
35,13,49,40,69.0,4.0
36,59,69,66,2.0,21.0
37,21,5,22,73.0,53.0
38,62,40,61,56.0,5.0
39,42,69,49,35.0,55.0
40,14,6,33,25.0,1.0
41,5,68,59,64.0,57.0
42,2,47,22,30.0,60.0
43,37,20,68,1.0,66.0
44,2,8,47,17.0,46.0
45,16,72,22,30.0,33.0
46,33,69,59,57.0,27.0
47,21,35,59,7.0,27.0
48,5,12,13,26.0,17.0
49,59,42,17,66.0,49.0
50,7,5,17,42.0,30.0
51,33,70,2,18.0,5.0
52,2,51,68,62.0,17.0
53,62,2,66,17.0,0.0
54,47,8,49,64.0,57.0
55,23,33,68,59.0,19.0
56,69,24,63,55.0,7.0
57,18,33,14,62.0,19.0
58,66,2,45,59.0,57.0
59,49,29,17,62.0,36.0
60,32,66,33,73.0,58.0
61,3,56,69,38.0,32.0
62,62,28,18,17.0,70.0
63,69,5,49,24.0,73.0
64,51,33,60,17.0,36.0
65,71,40,55,2.0,9.0
66,40,20,5,3.0,2.0
67,33,38,57,17.0,48.0
68,62,39,22,33.0,57.0
69,33,10,70,2.0,19.0
70,43,30,61,37.0,27.0
71,51,47,57,18.0,28.0
72,6,42,18,17.0,41.0
73,15,60,2,45.0,57.0
74,32,53,70,66.0,40.0
75,60,62,53,71.0,50.0
76,33,57,62,24.0,69.0
77,18,15,7,6.0,62.0
78,42,4,53,48.0,69.0
79,47,17,68,62.0,2.0
80,26,28,66,58.0,51.0
81,13,27,8,61.0,9.0
82,60,17,35,2.0,62.0
