,summonerName,championName,matchId,teamId,timePlayed,individualPosition,win,visionScore,assists,deaths,kills
0,Charming People,Lulu,KR_5697255844,blue,1824,UTILITY,False,52,5,5,1
1,Charming People,Lulu,KR_5697212315,red,1382,UTILITY,True,39,22,6,3
2,Charming People,Lulu,KR_5694247776,blue,1625,UTILITY,True,72,15,2,2
3,Charming People,Soraka,KR_5694236405,red,1022,UTILITY,True,32,15,0,2
4,Charming People,Lulu,KR_5694204302,blue,1239,UTILITY,False,52,4,5,4
5,Charming People,Soraka,KR_5694250556,blue,1215,UTILITY,True,52,20,4,2
6,Charming People,Soraka,KR_5694118028,red,1470,UTILITY,True,67,13,4,2
7,Charming People,Lulu,KR_5694134046,blue,1063,UTILITY,True,40,14,2,5
8,Charming People,Soraka,KR_5694140018,blue,1029,UTILITY,True,33,8,3,2
9,Charming People,Lulu,KR_5694055367,red,1222,UTILITY,True,47,13,2,1
10,Charming People,Lulu,KR_5694070947,red,914,UTILITY,False,23,3,5,0
11,Charming People,Lulu,KR_5692924802,blue,945,UTILITY,True,26,9,2,4
12,Charming People,Lulu,KR_5692893705,blue,1328,UTILITY,True,41,15,7,4
13,Charming People,Lulu,KR_5692778521,red,1381,UTILITY,True,35,14,4,1
14,Charming People,Lulu,KR_5692742277,blue,1653,UTILITY,True,66,17,5,2
15,Charming People,Lulu,KR_5692658430,blue,934,UTILITY,True,24,14,2,4
16,Charming People,Yuumi,KR_5692641398,red,1565,UTILITY,True,48,25,7,3
17,Charming People,Thresh,KR_5692596314,red,1001,UTILITY,True,22,9,5,2
18,Charming People,Lulu,KR_5692580124,red,1906,UTILITY,False,69,9,12,1
19,Charming People,Lulu,KR_5692485616,blue,1061,UTILITY,True,37,15,1,3
20,Charming People,Lulu,KR_5691751941,red,1225,UTILITY,True,51,12,2,3
21,Charming People,Lulu,KR_5691687290,red,2009,UTILITY,False,105,18,6,3
22,Charming People,Lulu,KR_5691614320,blue,1350,UTILITY,True,54,27,1,1
23,Charming People,Soraka,KR_5691589254,blue,979,UTILITY,True,28,11,2,0
24,Charming People,Soraka,KR_5691554738,red,1224,UTILITY,True,37,25,2,2
25,Charming People,Lulu,KR_5691498207,blue,1423,UTILITY,True,53,20,5,5
26,Charming People,Lulu,KR_5691432431,blue,1186,UTILITY,True,43,18,4,4
27,Charming People,Lulu,KR_5691386279,blue,944,UTILITY,True,25,11,2,0
28,Charming People,Lulu,KR_5691239173,blue,1749,UTILITY,False,74,14,5,4
29,Charming People,Lulu,KR_5691290735,red,1664,UTILITY,False,85,12,6,1
30,Charming People,Lulu,KR_5691173053,red,1213,UTILITY,True,49,29,6,5
31,Charming People,Lulu,KR_5691077120,blue,1386,UTILITY,True,54,28,5,1
32,Charming People,Lulu,KR_5691060247,red,1416,UTILITY,True,54,22,5,2
33,Charming People,Lulu,KR_5685659756,blue,1056,UTILITY,True,10,6,0,0
34,Charming People,Morgana,KR_5685666814,blue,1216,UTILITY,False,39,3,8,1
35,Charming People,Morgana,KR_5685681245,blue,1421,UTILITY,True,43,8,3,1
36,Charming People,Lulu,KR_5685606324,blue,1601,UTILITY,False,47,8,11,0
37,Charming People,Lulu,KR_5685549656,blue,1499,UTILITY,True,36,17,4,2
38,Charming People,Yuumi,KR_5684951685,red,1775,UTILITY,False,43,6,3,1
39,Charming People,Yuumi,KR_5684752766,blue,2568,UTILITY,False,71,19,6,5
40,Charming People,Lulu,KR_5684655695,blue,1936,UTILITY,False,53,12,7,0
41,Charming People,Lulu,KR_5684593288,blue,1297,UTILITY,False,26,6,1,0
42,Charming People,Karma,KR_5684478997,blue,1832,UTILITY,True,50,11,7,2
43,Charming People,Nami,KR_5684466405,blue,1021,UTILITY,False,14,3,4,1
44,Charming People,Nami,KR_5684314390,red,2028,UTILITY,False,71,9,7,0
45,Charming People,Lulu,KR_5684260336,blue,2012,UTILITY,True,79,21,4,1
46,Charming People,Karma,KR_5684204759,blue,1554,UTILITY,False,44,3,6,0
47,Charming People,Nami,KR_5684181589,blue,1393,UTILITY,False,39,2,7,0
48,Charming People,Lulu,KR_5684078376,red,1291,UTILITY,False,25,4,5,0
49,Charming People,Lulu,KR_5683971694,blue,1972,UTILITY,False,75,13,4,0
