,summonerName,championName,matchId,teamId,timePlayed,individualPosition,win,visionScore,assists,deaths,kills
0,ClearLove9,Shaco,KR_5696613658,red,1499,JUNGLE,False,23,6,10,8
1,ClearLove9,Shaco,KR_5696409671,red,1345,JUNGLE,False,9,3,8,9
2,ClearLove9,Shaco,KR_5696348740,blue,1210,JUNGLE,True,23,6,1,13
3,ClearLove9,Taliyah,KR_5696297122,red,1462,JUNGLE,False,25,10,5,1
4,ClearLove9,Shaco,KR_5696193571,red,1691,JUNGLE,False,28,8,8,4
5,ClearLove9,Shaco,KR_5696113877,blue,1626,JUNGLE,True,31,8,3,2
6,ClearLove9,Taliyah,KR_5696035990,red,886,JUNGLE,True,16,4,2,2
7,ClearLove9,RekSai,KR_5695898562,red,1887,JUNGLE,True,36,9,3,4
8,ClearLove9,Shaco,KR_5695900357,blue,1543,JUNGLE,True,19,8,2,5
9,ClearLove9,Shaco,KR_5694238704,red,2135,JUNGLE,True,29,8,7,8
10,ClearLove9,Shaco,KR_5694254901,blue,1343,JUNGLE,False,13,5,6,4
11,ClearLove9,Shaco,KR_5694272453,red,919,JUNGLE,False,12,1,5,0
12,ClearLove9,Shaco,KR_5694139309,blue,1349,JUNGLE,True,12,6,1,5
13,ClearLove9,Shaco,KR_5694115491,blue,1414,JUNGLE,True,19,6,1,4
14,ClearLove9,Shaco,KR_5694084160,red,1873,JUNGLE,False,35,6,8,9
15,ClearLove9,Shaco,KR_5693929495,red,1399,JUNGLE,False,17,7,5,2
16,ClearLove9,LeeSin,KR_5693868822,blue,1324,JUNGLE,False,21,2,2,2
17,ClearLove9,Shaco,KR_5693832853,blue,956,JUNGLE,True,14,2,2,4
18,ClearLove9,Shaco,KR_5693772117,blue,1286,JUNGLE,False,18,4,6,1
19,ClearLove9,Nunu,KR_5693515186,blue,1511,JUNGLE,False,8,5,6,1
