,summonerName,championName,matchId,teamId,timePlayed,individualPosition,win,visionScore,assists,deaths,kills
0,Makise Kurisu yo,Rakan,KR_5697623738,blue,1338,UTILITY,True,48,9,2,2
1,Makise Kurisu yo,Morgana,KR_5697488238,red,1946,UTILITY,True,77,21,6,1
2,Makise Kurisu yo,Karma,KR_5697427574,blue,1904,UTILITY,False,92,13,11,3
3,Makise Kurisu yo,Karma,KR_5697375465,red,934,UTILITY,False,19,1,3,0
4,Makise Kurisu yo,Leona,KR_5697329017,blue,1289,UTILITY,False,12,4,9,2
5,Makise Kurisu yo,Rakan,KR_5697305919,blue,917,UTILITY,True,35,11,1,2
6,Makise Kurisu yo,Leona,KR_5697293582,blue,967,JUNGLE,False,9,2,5,0
7,Makise Kurisu yo,Nautilus,KR_5697248627,blue,943,UTILITY,False,23,6,7,0
8,Makise Kurisu yo,Morgana,KR_5697233958,red,1699,UTILITY,False,68,13,10,1
9,Makise Kurisu yo,Morgana,KR_5697200522,red,1372,UTILITY,False,57,11,6,3
10,Makise Kurisu yo,Karma,KR_5697087290,blue,1803,UTILITY,False,79,19,9,1
11,Makise Kurisu yo,Braum,KR_5697049519,red,2097,UTILITY,False,75,29,9,3
12,Makise Kurisu yo,Karma,KR_5697014642,red,1622,UTILITY,False,71,3,6,1
13,Makise Kurisu yo,Morgana,KR_5697051206,red,843,UTILITY,False,3,0,3,0
14,Makise Kurisu yo,Leona,KR_5696926183,blue,1689,UTILITY,True,72,13,5,2
15,Makise Kurisu yo,Karma,KR_5696912823,red,1624,UTILITY,True,78,21,8,3
16,Makise Kurisu yo,Morgana,KR_5696881347,blue,2237,UTILITY,True,112,25,7,3
17,Makise Kurisu yo,Rakan,KR_5696787333,red,1593,UTILITY,False,76,17,7,0
18,Makise Kurisu yo,Leona,KR_5696747296,red,1477,UTILITY,True,53,11,4,0
19,Makise Kurisu yo,Leona,KR_5696803726,red,1248,UTILITY,True,53,7,2,1
20,Makise Kurisu yo,Leona,KR_5696783236,red,1438,UTILITY,True,40,11,3,1
21,Makise Kurisu yo,Rakan,KR_5696046247,red,1414,UTILITY,True,47,16,7,0
22,Makise Kurisu yo,Morgana,KR_5695979745,red,1465,UTILITY,True,72,11,3,3
23,Makise Kurisu yo,Morgana,KR_5695886303,blue,1405,UTILITY,False,64,5,6,1
24,Makise Kurisu yo,Annie,KR_5695866130,red,1678,MIDDLE,True,41,13,5,8
25,Makise Kurisu yo,Morgana,KR_5695719349,red,1240,UTILITY,False,40,5,6,2
26,Makise Kurisu yo,Leona,KR_5695703866,red,1231,UTILITY,False,41,9,6,1
27,Makise Kurisu yo,Annie,KR_5695672314,blue,2027,MIDDLE,True,87,17,7,6
28,Makise Kurisu yo,Karma,KR_5695508028,blue,1308,UTILITY,False,39,8,5,5
29,Makise Kurisu yo,Karma,KR_5695439054,red,2091,UTILITY,False,95,11,10,4
30,Makise Kurisu yo,Morgana,KR_5695410245,red,2015,UTILITY,False,90,15,10,0
31,Makise Kurisu yo,Lulu,KR_5695353501,red,1380,UTILITY,False,42,7,9,1
32,Makise Kurisu yo,Leona,KR_5695174409,blue,2137,UTILITY,False,115,17,10,0
33,Makise Kurisu yo,Leona,KR_5694897574,blue,1624,UTILITY,False,75,19,4,1
34,Makise Kurisu yo,Leona,KR_5694678192,red,1382,UTILITY,True,43,20,6,0
35,Makise Kurisu yo,Karma,KR_5694623685,red,1228,UTILITY,False,34,5,6,4
36,Makise Kurisu yo,Karma,KR_5694620085,red,959,UTILITY,False,28,4,4,3
37,Makise Kurisu yo,Karma,KR_5694503323,red,2094,UTILITY,True,100,34,9,6
38,Makise Kurisu yo,Karma,KR_5694458475,red,1436,JUNGLE,False,59,10,5,5
39,Makise Kurisu yo,Annie,KR_5694425192,blue,1668,MIDDLE,True,32,14,5,4
40,Makise Kurisu yo,Leona,KR_5694442437,red,1229,UTILITY,True,44,20,2,1
41,Makise Kurisu yo,Alistar,KR_5694440456,blue,1345,UTILITY,False,47,5,3,0
42,Makise Kurisu yo,Morgana,KR_5694367993,blue,916,UTILITY,True,27,8,2,1
43,Makise Kurisu yo,Karma,KR_5694326977,blue,1454,UTILITY,True,61,12,3,1
44,Makise Kurisu yo,Lulu,KR_5694365269,blue,1198,UTILITY,True,45,12,3,2
45,Makise Kurisu yo,Lulu,KR_5694344264,red,1719,UTILITY,True,67,18,2,3
46,Makise Kurisu yo,Morgana,KR_5694314372,blue,1120,UTILITY,False,28,4,4,1
47,Makise Kurisu yo,Morgana,KR_5694382150,red,1166,UTILITY,False,31,0,4,0
48,Makise Kurisu yo,Braum,KR_5694371933,red,922,UTILITY,True,23,20,2,1
49,Makise Kurisu yo,Karma,KR_5694331479,red,1398,UTILITY,True,61,16,0,2
