,summonerName,championName,matchId,teamId,timePlayed,individualPosition,win,visionScore,assists,deaths,kills
0,TOWERAMMA,Thresh,KR_5697454380,red,1727,UTILITY,False,83,15,7,1
1,TOWERAMMA,Thresh,KR_5697410524,red,1739,UTILITY,True,78,16,5,0
2,TOWERAMMA,Thresh,KR_5697355925,blue,1259,UTILITY,False,34,9,5,1
3,TOWERAMMA,Yuumi,KR_5697313451,blue,931,UTILITY,True,23,7,1,4
4,TOWERAMMA,Yuumi,KR_5697258805,blue,1266,UTILITY,False,36,4,4,0
5,TOWERAMMA,Thresh,KR_5697253849,red,1778,UTILITY,True,77,23,11,1
6,TOWERAMMA,Thresh,KR_5697180735,red,2172,UTILITY,True,87,20,8,3
7,TOWERAMMA,Yuumi,KR_5697091974,blue,1959,UTILITY,True,89,35,3,2
8,TOWERAMMA,Thresh,KR_5697025087,red,2307,UTILITY,True,120,18,5,2
9,TOWERAMMA,Morgana,KR_5696974552,blue,1105,UTILITY,True,37,7,1,4
10,TOWERAMMA,Thresh,KR_5696990112,blue,1897,UTILITY,False,99,10,3,4
11,TOWERAMMA,Alistar,KR_5696876120,blue,1881,UTILITY,True,72,12,6,3
12,TOWERAMMA,Yuumi,KR_5696950066,red,2204,UTILITY,False,78,18,4,5
13,TOWERAMMA,Yuumi,KR_5696870252,blue,922,UTILITY,False,17,3,4,0
14,TOWERAMMA,Yuumi,KR_5696815805,red,1617,UTILITY,False,49,5,6,0
15,TOWERAMMA,Rakan,KR_5695775692,red,1579,UTILITY,True,66,20,4,2
16,TOWERAMMA,Nautilus,KR_5695740103,red,1240,UTILITY,False,37,2,8,1
17,TOWERAMMA,Yuumi,KR_5695582591,blue,1585,UTILITY,True,57,23,3,5
18,TOWERAMMA,Thresh,KR_5695564333,blue,1447,UTILITY,True,61,18,3,1
19,TOWERAMMA,Leona,KR_5695457571,red,1812,UTILITY,True,86,25,6,5
20,TOWERAMMA,Morgana,KR_5695393600,blue,1398,UTILITY,True,66,21,2,3
21,TOWERAMMA,Thresh,KR_5695345955,red,1211,UTILITY,False,32,3,5,0
22,TOWERAMMA,Thresh,KR_5695301485,red,1420,UTILITY,False,38,4,5,0
23,TOWERAMMA,Thresh,KR_5695174159,blue,1355,UTILITY,False,42,6,6,3
24,TOWERAMMA,Thresh,KR_5694405480,blue,1775,UTILITY,True,76,14,5,2
25,TOWERAMMA,Morgana,KR_5692500912,red,774,UTILITY,True,24,5,3,2
26,TOWERAMMA,Yuumi,KR_5692414884,red,1577,UTILITY,False,37,25,4,4
27,TOWERAMMA,Leona,KR_5691916205,red,1207,UTILITY,True,42,13,2,2
28,TOWERAMMA,Yuumi,KR_5691924978,blue,1803,UTILITY,True,66,18,3,1
29,TOWERAMMA,Yuumi,KR_5691825554,blue,1115,UTILITY,False,34,11,9,0
30,TOWERAMMA,Thresh,KR_5691356751,blue,1276,UTILITY,True,50,15,0,0
31,TOWERAMMA,Yuumi,KR_5690700834,blue,1493,UTILITY,True,53,15,1,5
32,TOWERAMMA,Yuumi,KR_5690426582,red,1313,UTILITY,True,48,18,1,3
33,TOWERAMMA,Yuumi,KR_5690431367,blue,1723,UTILITY,True,61,20,6,2
34,TOWERAMMA,Thresh,KR_5690267282,blue,1589,UTILITY,True,66,25,6,0
35,TOWERAMMA,Morgana,KR_5690311604,red,1644,UTILITY,True,76,20,2,3
36,TOWERAMMA,Yuumi,KR_5690217784,blue,961,UTILITY,False,21,2,6,1
37,TOWERAMMA,Yuumi,KR_5690125713,red,935,UTILITY,True,25,8,1,1
