,summonerName,championName,matchId,teamId,timePlayed,individualPosition,win,visionScore,assists,deaths,kills
0,Touch of Iight,Yasuo,KR_5687863755,red,1750,MIDDLE,False,15,10,8,13
1,Touch of Iight,Yasuo,KR_5687768606,red,1728,MIDDLE,False,26,1,8,10
2,Touch of Iight,Yasuo,KR_5685365527,red,1797,MIDDLE,False,22,5,10,8
3,Touch of Iight,Yasuo,KR_5685306604,red,1704,MIDDLE,False,25,6,9,4
4,Touch of Iight,Yasuo,KR_5685197928,red,1668,MIDDLE,False,13,1,12,3
5,Touch of Iight,Yasuo,KR_5684459675,red,1137,MIDDLE,True,11,3,6,0
6,Touch of Iight,Yasuo,KR_5684435127,blue,1778,MIDDLE,False,14,6,12,2
7,Touch of Iight,Graves,KR_5680553417,blue,1568,JUNGLE,False,23,5,7,2
8,Touch of Iight,Graves,KR_5680407051,red,1400,JUNGLE,False,11,4,6,3
9,Touch of Iight,LeeSin,KR_5680238413,red,1816,JUNGLE,False,25,4,10,8
