,summonerName,championName,matchId,teamId,timePlayed,individualPosition,win,visionScore,assists,deaths,kills
0,keep me high,Anivia,KR_5694411345,blue,1678,MIDDLE,True,22,10,3,8
1,keep me high,Anivia,KR_5694299141,blue,1583,MIDDLE,True,34,8,2,4
2,keep me high,Anivia,KR_5694297804,blue,1182,MIDDLE,True,9,9,1,14
3,keep me high,Anivia,KR_5694354974,blue,936,MIDDLE,True,15,3,0,5
4,keep me high,Anivia,KR_5694354182,blue,1511,MIDDLE,True,33,8,1,8
5,keep me high,Anivia,KR_5694304280,red,1505,MIDDLE,True,42,9,0,9
6,keep me high,Anivia,KR_5694312668,blue,2104,MIDDLE,False,36,9,4,6
7,keep me high,Anivia,KR_5694350630,red,1523,MIDDLE,True,18,12,1,12
8,keep me high,Anivia,KR_5694248449,red,1118,MIDDLE,True,18,4,1,6
9,keep me high,RekSai,KR_5694085404,blue,1883,JUNGLE,False,16,9,8,8
10,keep me high,Sylas,KR_5694030076,red,1572,MIDDLE,False,12,8,7,7
11,keep me high,Graves,KR_5693902336,blue,1975,JUNGLE,False,34,7,6,8
12,keep me high,LeeSin,KR_5693852012,blue,1859,JUNGLE,True,31,13,3,7
13,keep me high,Morgana,KR_5692541202,blue,1297,UTILITY,False,17,1,6,1
14,keep me high,Morgana,KR_5692436106,blue,1396,UTILITY,False,31,8,9,0
15,keep me high,Alistar,KR_5692470780,red,1692,UTILITY,True,45,10,12,2
16,keep me high,Alistar,KR_5692365508,red,1788,UTILITY,False,39,12,7,1
17,keep me high,Morgana,KR_5692391386,blue,1374,UTILITY,True,54,8,1,3
18,keep me high,Morgana,KR_5692059111,blue,1172,UTILITY,True,32,4,4,3
19,keep me high,Morgana,KR_5692065613,blue,1818,UTILITY,True,56,23,10,1
20,keep me high,Morgana,KR_5692092044,red,1613,UTILITY,False,43,4,10,1
21,keep me high,Alistar,KR_5692091069,red,197,UTILITY,True,0,1,0,0
22,keep me high,Morgana,KR_5691888578,blue,1647,UTILITY,False,64,14,8,1
23,keep me high,Morgana,KR_5691857726,red,1548,UTILITY,False,61,13,5,1
24,keep me high,Morgana,KR_5691915534,blue,1730,UTILITY,True,57,10,3,1
25,keep me high,Morgana,KR_5691855023,red,2015,UTILITY,True,62,11,10,4
26,keep me high,Morgana,KR_5691933029,red,1687,UTILITY,False,49,12,10,4
27,keep me high,Fizz,KR_5691843647,blue,1361,MIDDLE,True,11,5,0,6
28,keep me high,Morgana,KR_5691862293,blue,1494,UTILITY,True,54,9,4,3
29,keep me high,Morgana,KR_5691891083,blue,1604,UTILITY,False,38,9,6,2
30,keep me high,Morgana,KR_5691759637,blue,2242,UTILITY,True,93,14,4,1
31,keep me high,Morgana,KR_5691806773,blue,937,UTILITY,True,24,10,0,1
32,keep me high,Thresh,KR_5691804208,blue,1350,UTILITY,False,17,0,3,1
33,keep me high,Soraka,KR_5691791816,blue,1380,UTILITY,False,19,9,7,1
34,keep me high,Alistar,KR_5691688836,red,1336,UTILITY,False,26,5,1,1
35,keep me high,Alistar,KR_5691643304,red,2248,UTILITY,True,73,13,9,0
36,keep me high,Alistar,KR_5691651509,blue,195,UTILITY,True,0,0,0,0
37,keep me high,Alistar,KR_5691592601,red,2327,UTILITY,False,66,18,7,5
38,keep me high,Zyra,KR_5689973260,blue,2328,UTILITY,True,127,20,10,10
39,keep me high,Zyra,KR_5689961456,red,1356,UTILITY,True,52,12,2,8
40,keep me high,Soraka,KR_5689834049,blue,1587,UTILITY,False,28,5,5,2
41,keep me high,Soraka,KR_5689852716,red,1748,UTILITY,True,68,17,5,2
42,keep me high,Alistar,KR_5689872123,blue,192,UTILITY,False,0,0,0,0
43,keep me high,Alistar,KR_5689830743,blue,1378,UTILITY,True,35,18,5,0
