,summonerName,championName,matchId,teamId,timePlayed,individualPosition,win,visionScore,assists,deaths,kills
0,lIllIIlIlIIIII,Xerath,KR_5697591291,red,1595,UTILITY,False,75,10,2,3
1,lIllIIlIlIIIII,Morgana,KR_5697503306,blue,1687,UTILITY,True,67,20,8,6
2,lIllIIlIlIIIII,Xerath,KR_5696831345,red,2048,UTILITY,True,85,18,10,9
3,lIllIIlIlIIIII,Soraka,KR_5696762941,red,1373,UTILITY,True,40,14,6,2
4,lIllIIlIlIIIII,Morgana,KR_5696649944,red,1703,MIDDLE,False,30,11,6,7
5,lIllIIlIlIIIII,Lulu,KR_5696648600,blue,916,UTILITY,True,28,15,1,2
6,lIllIIlIlIIIII,Morgana,KR_5696637959,blue,968,UTILITY,False,31,2,4,0
7,lIllIIlIlIIIII,Morgana,KR_5696608042,red,1241,UTILITY,False,51,6,7,2
8,lIllIIlIlIIIII,Lulu,KR_5696588385,red,1262,UTILITY,True,48,19,0,2
9,lIllIIlIlIIIII,Nami,KR_5696615111,red,2080,UTILITY,False,73,26,10,3
10,lIllIIlIlIIIII,Blitzcrank,KR_5696585154,blue,1023,UTILITY,False,24,2,2,1
11,lIllIIlIlIIIII,Morgana,KR_5696583494,red,1222,UTILITY,False,37,2,6,0
12,lIllIIlIlIIIII,Blitzcrank,KR_5696458395,blue,1937,UTILITY,False,93,14,10,2
13,lIllIIlIlIIIII,Morgana,KR_5696445212,red,1089,UTILITY,True,25,3,2,1
14,lIllIIlIlIIIII,Morgana,KR_5695851920,blue,1776,UTILITY,True,75,19,5,2
15,lIllIIlIlIIIII,Morgana,KR_5695776670,blue,919,UTILITY,False,20,2,6,1
16,lIllIIlIlIIIII,Leona,KR_5695676880,blue,1939,UTILITY,True,82,17,6,2
17,lIllIIlIlIIIII,Morgana,KR_5695601705,red,1570,UTILITY,False,75,13,7,2
18,lIllIIlIlIIIII,Blitzcrank,KR_5695525688,blue,1199,UTILITY,False,20,1,6,0
19,lIllIIlIlIIIII,Nami,KR_5695570622,red,631,JUNGLE,False,5,1,1,0
20,lIllIIlIlIIIII,Morgana,KR_5695456653,blue,1087,UTILITY,True,47,4,2,2
21,lIllIIlIlIIIII,Morgana,KR_5691729373,blue,1718,UTILITY,False,65,8,11,1
22,lIllIIlIlIIIII,Morgana,KR_5691717272,blue,2177,UTILITY,False,96,15,8,1
23,lIllIIlIlIIIII,Lulu,KR_5691784320,blue,998,UTILITY,True,24,3,0,2
24,lIllIIlIlIIIII,Morgana,KR_5691771502,blue,1496,UTILITY,False,55,9,7,2
25,lIllIIlIlIIIII,Morgana,KR_5691646509,red,2221,UTILITY,False,89,13,11,0
26,lIllIIlIlIIIII,Morgana,KR_5691641502,blue,1615,UTILITY,True,71,25,5,1
27,lIllIIlIlIIIII,Morgana,KR_5691545637,red,1661,UTILITY,False,61,12,7,3
28,lIllIIlIlIIIII,Morgana,KR_5691426821,red,1913,UTILITY,False,71,5,8,5
29,lIllIIlIlIIIII,Morgana,KR_5691359814,red,1183,UTILITY,True,38,15,2,2
30,lIllIIlIlIIIII,Morgana,KR_5691373565,blue,1186,UTILITY,False,47,8,4,2
31,lIllIIlIlIIIII,Morgana,KR_5691351518,blue,192,UTILITY,False,0,0,0,0
32,lIllIIlIlIIIII,Morgana,KR_5690816106,blue,1530,UTILITY,True,59,13,7,1
33,lIllIIlIlIIIII,Lulu,KR_5690810312,red,2104,UTILITY,False,110,21,6,5
34,lIllIIlIlIIIII,Morgana,KR_5690684009,red,1242,UTILITY,False,38,11,9,1
35,lIllIIlIlIIIII,Morgana,KR_5690610306,red,971,UTILITY,True,30,7,2,1
36,lIllIIlIlIIIII,Nami,KR_5690324662,red,1979,UTILITY,False,85,16,4,2
37,lIllIIlIlIIIII,Blitzcrank,KR_5690430355,red,786,UTILITY,True,20,6,0,1
38,lIllIIlIlIIIII,Gragas,KR_5687978872,blue,2165,UTILITY,False,78,8,12,1
39,lIllIIlIlIIIII,Morgana,KR_5687938874,red,921,UTILITY,True,23,6,1,3
40,lIllIIlIlIIIII,Morgana,KR_5687997399,blue,1563,UTILITY,True,73,15,6,3
41,lIllIIlIlIIIII,Morgana,KR_5687186706,red,1202,UTILITY,True,41,8,1,1
