,summonerName,championName,matchId,teamId,timePlayed,individualPosition,win,visionScore,assists,deaths,kills
0,넴모넴모,Hecarim,KR_5379763559,blue,2021,JUNGLE,False,12,13,5,17
1,넴모넴모,Hecarim,KR_5379770446,blue,1215,JUNGLE,False,17,6,5,7
2,넴모넴모,Hecarim,KR_5379626818,blue,1717,JUNGLE,True,21,11,7,11
3,넴모넴모,Hecarim,KR_5379621668,blue,1733,JUNGLE,True,19,18,8,5
4,넴모넴모,Zac,KR_5379456377,blue,1646,JUNGLE,False,6,5,7,6
5,넴모넴모,Zac,KR_5378037322,red,1772,JUNGLE,True,12,14,5,3
6,넴모넴모,Zac,KR_5373858183,blue,2037,JUNGLE,False,32,10,4,5
7,넴모넴모,Zac,KR_5373850959,blue,2253,JUNGLE,True,25,14,3,4
8,넴모넴모,Zac,KR_5373458014,red,1895,JUNGLE,True,25,20,3,2
9,넴모넴모,Zac,KR_5373480962,blue,2073,JUNGLE,False,21,15,4,7
10,넴모넴모,Zac,KR_5373377545,blue,1215,JUNGLE,True,12,6,0,4
11,넴모넴모,Zac,KR_5373355145,blue,927,JUNGLE,True,14,4,0,4
12,넴모넴모,Zac,KR_5373309417,blue,1900,JUNGLE,True,16,13,1,2
