,summonerName,championName,matchId,teamId,timePlayed,individualPosition,win,visionScore,assists,deaths,kills
0,넴모넴모뭐믹,Volibear,KR_5714925883,red,1726,JUNGLE,True,26,13,6,1
1,넴모넴모뭐믹,Nocturne,KR_5714829464,blue,984,JUNGLE,True,11,3,1,6
2,넴모넴모뭐믹,Galio,KR_5709916789,blue,1651,UTILITY,True,40,16,4,2
3,넴모넴모뭐믹,Hecarim,KR_5707768037,blue,1650,JUNGLE,True,18,8,2,7
4,넴모넴모뭐믹,Sona,KR_5707721342,blue,1859,UTILITY,True,43,17,4,0
5,넴모넴모뭐믹,Lux,KR_5702357016,blue,1491,UTILITY,True,40,6,8,1
6,넴모넴모뭐믹,TahmKench,KR_5702455069,blue,1364,TOP,True,12,8,2,2
7,넴모넴모뭐믹,Nocturne,KR_5702513578,blue,1489,JUNGLE,False,10,0,9,2
8,넴모넴모뭐믹,Senna,KR_5702431987,blue,1112,UTILITY,False,15,4,9,2
9,넴모넴모뭐믹,Sona,KR_5702491052,red,1999,UTILITY,False,57,13,6,3
10,넴모넴모뭐믹,Sona,KR_5699845460,red,1924,UTILITY,True,65,11,5,0
11,넴모넴모뭐믹,Amumu,KR_5699665863,red,1435,UTILITY,False,24,6,9,2
12,넴모넴모뭐믹,Talon,KR_5699499165,red,1364,MIDDLE,True,19,4,1,2
13,넴모넴모뭐믹,Trundle,KR_5697827872,red,1209,UTILITY,True,25,8,2,0
14,넴모넴모뭐믹,Alistar,KR_5697758585,red,1807,UTILITY,True,41,10,3,2
15,넴모넴모뭐믹,Sona,KR_5697743149,red,1210,UTILITY,False,13,2,6,0
16,넴모넴모뭐믹,Warwick,KR_5693808430,red,1796,JUNGLE,True,35,11,3,3
17,넴모넴모뭐믹,FiddleSticks,KR_5687407576,blue,1727,JUNGLE,True,34,9,5,8
18,넴모넴모뭐믹,Warwick,KR_5687292026,red,1408,JUNGLE,False,13,4,5,0
19,넴모넴모뭐믹,Yuumi,KR_5687163157,red,1852,UTILITY,False,31,6,9,2
20,넴모넴모뭐믹,Udyr,KR_5687106277,red,1574,JUNGLE,True,19,6,2,6
21,넴모넴모뭐믹,Hecarim,KR_5686949718,blue,1431,JUNGLE,True,22,3,2,2
22,넴모넴모뭐믹,Nocturne,KR_5686519448,blue,2129,JUNGLE,True,20,21,10,9
23,넴모넴모뭐믹,Talon,KR_5686464329,blue,1732,JUNGLE,True,15,7,6,10
24,넴모넴모뭐믹,FiddleSticks,KR_5685773322,blue,1617,JUNGLE,True,66,12,4,3
25,넴모넴모뭐믹,Talon,KR_5685719224,red,2102,JUNGLE,False,31,5,11,11
26,넴모넴모뭐믹,Trundle,KR_5685666407,red,2680,JUNGLE,True,29,13,8,8
27,넴모넴모뭐믹,Talon,KR_5685690510,red,1955,JUNGLE,False,17,5,10,7
28,넴모넴모뭐믹,Viego,KR_5685595772,red,1477,JUNGLE,False,8,1,7,2
