,summonerName,championName,matchId,teamId,timePlayed,individualPosition,win,visionScore,assists,deaths,kills
0,럭스때,Brand,KR_5697551250,red,1000,UTILITY,False,21,3,6,1
1,럭스때,Lux,KR_5697206625,red,2197,UTILITY,False,74,12,16,3
2,럭스때,Lux,KR_5697220854,red,2032,UTILITY,True,75,18,11,6
3,럭스때,Lux,KR_5697146234,red,1346,UTILITY,False,19,0,8,0
4,럭스때,Lux,KR_5697131979,red,1747,UTILITY,False,51,14,10,3
5,럭스때,Lux,KR_5695071027,blue,1419,UTILITY,True,54,9,9,9
6,럭스때,Lux,KR_5694739015,blue,2567,UTILITY,True,134,18,13,9
7,럭스때,Lux,KR_5694764259,red,964,UTILITY,False,24,5,7,1
8,럭스때,Lux,KR_5694613888,blue,1655,UTILITY,False,67,13,14,4
9,럭스때,Lux,KR_5694528443,red,1651,UTILITY,False,62,12,14,4
10,럭스때,Lux,KR_5694582026,blue,1867,UTILITY,False,89,7,10,7
11,럭스때,Lux,KR_5694486335,blue,2117,UTILITY,False,105,7,8,0
12,럭스때,Lux,KR_5694453984,blue,1645,UTILITY,True,64,20,9,2
13,럭스때,Lux,KR_5694461514,red,1192,UTILITY,False,31,3,9,1
14,럭스때,Lux,KR_5694329884,red,1101,UTILITY,True,47,6,2,4
15,럭스때,Lux,KR_5693119335,red,2288,UTILITY,False,103,15,11,8
16,럭스때,Lux,KR_5693097775,red,1631,UTILITY,True,91,11,8,6
17,럭스때,Lux,KR_5693051701,blue,1669,UTILITY,True,90,15,8,3
18,럭스때,Lux,KR_5692963781,blue,2303,UTILITY,True,96,13,14,3
19,럭스때,Lux,KR_5692867084,blue,1192,UTILITY,False,50,4,8,0
20,럭스때,Lux,KR_5692811962,blue,1476,UTILITY,True,66,13,3,11
21,럭스때,Lux,KR_5692783509,red,1945,UTILITY,False,100,16,8,1
22,럭스때,Lux,KR_5692698208,blue,948,UTILITY,False,37,2,6,1
23,럭스때,Lux,KR_5692662108,red,1323,UTILITY,True,60,8,7,6
24,럭스때,Lux,KR_5692564067,blue,2045,UTILITY,False,107,11,13,4
25,럭스때,Soraka,KR_5692418275,blue,1772,UTILITY,False,48,5,10,0
26,럭스때,Lux,KR_5692480276,blue,2350,UTILITY,True,91,17,16,5
27,럭스때,Lux,KR_5692374858,blue,1286,UTILITY,False,42,4,9,0
28,럭스때,Lux,KR_5692313126,red,933,UTILITY,True,23,7,2,3
29,럭스때,Lux,KR_5692129222,red,1234,UTILITY,True,35,9,6,3
30,럭스때,Lux,KR_5692065559,blue,1895,UTILITY,False,78,13,14,2
31,럭스때,Lux,KR_5692013735,blue,1221,UTILITY,True,41,18,8,10
32,럭스때,Lux,KR_5692090693,red,1403,UTILITY,True,58,13,6,2
33,럭스때,Lux,KR_5691919093,blue,1354,UTILITY,True,41,9,7,4
34,럭스때,Lux,KR_5691897606,red,1230,UTILITY,True,39,14,1,4
35,럭스때,Lux,KR_5691846580,blue,2322,UTILITY,True,109,19,10,6
36,럭스때,Lux,KR_5691512433,red,968,UTILITY,False,27,1,8,2
37,럭스때,Lux,KR_5691426935,blue,1101,UTILITY,True,42,9,1,4
38,럭스때,Lux,KR_5691470086,red,1233,UTILITY,False,41,9,8,1
39,럭스때,Lux,KR_5690968957,blue,2020,UTILITY,False,93,12,16,2
40,럭스때,Lux,KR_5690663171,blue,1467,UTILITY,True,54,13,6,5
41,럭스때,Lux,KR_5690700895,red,614,UTILITY,True,3,3,4,1
42,럭스때,Lux,KR_5690406320,red,1701,UTILITY,True,84,18,7,8
43,럭스때,Soraka,KR_5690412163,blue,971,UTILITY,True,28,10,3,0
44,럭스때,Lux,KR_5690239082,blue,1345,UTILITY,False,49,2,5,0
45,럭스때,Lux,KR_5690314074,blue,1349,UTILITY,True,39,10,9,5
