,summonerName,championName,matchId,teamId,timePlayed,individualPosition,win,visionScore,assists,deaths,kills
0,멘탈보호용계정,Akali,KR_5697656798,blue,1305,TOP,False,10,2,4,4
1,멘탈보호용계정,Akali,KR_5697549156,red,1900,TOP,False,25,7,5,6
2,멘탈보호용계정,Akali,KR_5697485240,red,1784,TOP,False,21,5,6,4
3,멘탈보호용계정,Akali,KR_5696043689,red,2031,MIDDLE,False,19,5,6,6
4,멘탈보호용계정,Kaisa,KR_5695898531,red,1660,BOTTOM,True,24,9,5,4
5,멘탈보호용계정,Lucian,KR_5695920444,blue,1424,BOTTOM,True,16,9,7,5
6,멘탈보호용계정,Lucian,KR_5695779787,blue,1818,BOTTOM,True,23,11,3,5
7,멘탈보호용계정,Irelia,KR_5695684336,blue,1700,MIDDLE,False,29,1,7,8
8,멘탈보호용계정,TwistedFate,KR_5695286250,blue,1778,MIDDLE,False,20,7,7,1
9,멘탈보호용계정,Akali,KR_5695179076,red,921,MIDDLE,True,10,3,1,5
10,멘탈보호용계정,Ezreal,KR_5695132686,red,1427,BOTTOM,False,14,3,7,4
11,멘탈보호용계정,Talon,KR_5694324137,red,1104,MIDDLE,False,13,3,9,0
12,멘탈보호용계정,Akali,KR_5694372484,blue,1824,MIDDLE,False,24,6,6,11
13,멘탈보호용계정,Akali,KR_5694312801,red,1430,MIDDLE,True,18,5,3,7
14,멘탈보호용계정,Akali,KR_5694370670,blue,1668,MIDDLE,True,15,7,4,10
15,멘탈보호용계정,Akali,KR_5694310617,blue,1758,MIDDLE,True,13,7,5,11
16,멘탈보호용계정,Akali,KR_5694257716,blue,2039,MIDDLE,True,21,15,7,11
17,멘탈보호용계정,Akali,KR_5694196269,red,1660,MIDDLE,True,24,6,4,9
18,멘탈보호용계정,Akali,KR_5694280721,red,1849,MIDDLE,False,19,3,5,6
19,멘탈보호용계정,Thresh,KR_5694109037,blue,1510,UTILITY,True,29,15,7,3
20,멘탈보호용계정,Akali,KR_5694104838,blue,1411,MIDDLE,False,7,4,9,7
21,멘탈보호용계정,Akali,KR_5694110696,blue,1154,MIDDLE,True,14,4,1,5
22,멘탈보호용계정,Akali,KR_5694072851,blue,1945,MIDDLE,False,25,3,6,4
23,멘탈보호용계정,Akali,KR_5693811912,red,1698,MIDDLE,False,28,3,4,8
24,멘탈보호용계정,Akali,KR_5693054940,blue,2259,MIDDLE,True,30,14,5,10
25,멘탈보호용계정,Akali,KR_5692452694,blue,1224,MIDDLE,False,10,0,6,3
26,멘탈보호용계정,Akali,KR_5692358915,blue,1273,MIDDLE,False,17,8,5,8
27,멘탈보호용계정,Akali,KR_5692394269,blue,1332,MIDDLE,True,24,3,0,6
28,멘탈보호용계정,TwistedFate,KR_5692332707,blue,934,MIDDLE,False,8,0,3,1
29,멘탈보호용계정,Akali,KR_5691183720,blue,2214,MIDDLE,True,26,9,5,11
30,멘탈보호용계정,TwistedFate,KR_5691055629,blue,1531,MIDDLE,True,31,12,2,1
31,멘탈보호용계정,TwistedFate,KR_5690986765,red,2132,MIDDLE,True,32,13,8,5
32,멘탈보호용계정,Vayne,KR_5679523633,blue,1370,BOTTOM,False,14,0,5,0
33,멘탈보호용계정,Kaisa,KR_5679258357,blue,1552,BOTTOM,False,17,7,4,4
34,멘탈보호용계정,Kaisa,KR_5679237258,blue,924,BOTTOM,False,13,0,2,3
35,멘탈보호용계정,Vayne,KR_5665742003,blue,1781,BOTTOM,False,21,5,12,4
36,멘탈보호용계정,Zed,KR_5568727846,blue,1791,MIDDLE,False,17,3,8,3
37,멘탈보호용계정,Zed,KR_5567093560,blue,2173,MIDDLE,False,30,10,6,12
38,멘탈보호용계정,TwistedFate,KR_5564125843,red,1823,MIDDLE,False,22,6,9,6
39,멘탈보호용계정,Ezreal,KR_5563840689,red,1381,BOTTOM,False,10,3,4,2
40,멘탈보호용계정,TwistedFate,KR_5563691711,red,1280,MIDDLE,False,16,3,9,1
41,멘탈보호용계정,MissFortune,KR_5563394188,red,1270,BOTTOM,False,8,3,6,3
