,summonerName,championName,matchId,teamId,timePlayed,individualPosition,win,visionScore,assists,deaths,kills
0,뷰티플게이,Yorick,KR_5697827872,red,1209,TOP,True,5,2,1,1
1,뷰티플게이,Malzahar,KR_5697758585,red,1807,TOP,True,25,10,5,5
2,뷰티플게이,Nasus,KR_5697743149,red,1210,TOP,False,8,0,4,1
3,뷰티플게이,Kayle,KR_5693808430,red,1796,TOP,True,14,13,0,3
4,뷰티플게이,Yone,KR_5687407576,blue,1727,TOP,True,19,6,4,3
5,뷰티플게이,Ryze,KR_5687292026,red,1408,TOP,False,8,0,5,1
6,뷰티플게이,Yorick,KR_5687163157,red,1852,TOP,False,22,4,4,7
7,뷰티플게이,Kayle,KR_5687106277,red,1574,TOP,True,13,2,4,10
8,뷰티플게이,Viktor,KR_5685580296,red,1813,TOP,False,9,11,7,12
9,뷰티플게이,Yone,KR_5685407351,blue,1748,TOP,False,20,2,5,2
10,뷰티플게이,Khazix,KR_5685352528,blue,1152,JUNGLE,True,11,6,1,11
11,뷰티플게이,Mordekaiser,KR_5685302475,red,1345,TOP,False,5,2,6,3
12,뷰티플게이,Gwen,KR_5685153723,blue,1584,TOP,False,13,2,6,5
13,뷰티플게이,Viktor,KR_5680873337,blue,2037,TOP,True,41,18,1,7
14,뷰티플게이,Garen,KR_5680685774,blue,1848,TOP,True,20,8,4,2
15,뷰티플게이,Aatrox,KR_5679989385,blue,1779,TOP,True,23,2,0,6
16,뷰티플게이,Sylas,KR_5677879141,blue,1436,TOP,False,13,6,6,3
17,뷰티플게이,Viktor,KR_5677824793,red,1230,TOP,False,20,1,5,4
18,뷰티플게이,Ryze,KR_5677796921,red,1792,TOP,False,23,7,6,4
19,뷰티플게이,Yorick,KR_5677702567,red,1648,TOP,False,20,1,5,3
20,뷰티플게이,Camille,KR_5677643551,blue,1927,TOP,False,13,9,8,8
21,뷰티플게이,Jax,KR_5676470303,blue,1629,TOP,False,13,7,4,3
22,뷰티플게이,Sett,KR_5674162461,red,1878,TOP,True,11,12,6,8
23,뷰티플게이,Kassadin,KR_5672106252,blue,1412,MIDDLE,True,15,7,1,8
24,뷰티플게이,Viego,KR_5670194267,red,1872,JUNGLE,True,21,9,4,14
25,뷰티플게이,Gwen,KR_5670122979,red,1012,TOP,False,6,0,2,3
26,뷰티플게이,Ryze,KR_5670064513,blue,1215,TOP,False,10,2,3,0
27,뷰티플게이,Viego,KR_5668539068,red,1736,JUNGLE,True,23,14,3,15
28,뷰티플게이,Yone,KR_5666740292,blue,1717,TOP,True,31,1,2,5
29,뷰티플게이,Kassadin,KR_5666549249,blue,2240,TOP,False,28,3,5,16
30,뷰티플게이,Jax,KR_5665703952,red,1326,TOP,True,16,3,2,12
31,뷰티플게이,Yorick,KR_5665618799,blue,962,TOP,True,4,5,0,4
32,뷰티플게이,Vayne,KR_5665572352,blue,1998,TOP,False,20,3,7,6
33,뷰티플게이,Viego,KR_5664024037,red,1842,JUNGLE,False,25,9,9,10
34,뷰티플게이,Yone,KR_5662870987,red,1363,TOP,False,10,3,5,2
35,뷰티플게이,Viktor,KR_5659645786,blue,2136,TOP,True,30,9,4,12
36,뷰티플게이,Ryze,KR_5655005099,blue,1190,TOP,False,10,5,2,1
37,뷰티플게이,Sylas,KR_5651483134,blue,956,TOP,True,6,5,0,5
38,뷰티플게이,Viego,KR_5650936814,red,1528,JUNGLE,True,20,3,0,11
39,뷰티플게이,Aatrox,KR_5650726844,blue,2023,TOP,False,15,7,6,7
40,뷰티플게이,Yone,KR_5650467527,red,1171,TOP,True,3,4,4,3
41,뷰티플게이,Cassiopeia,KR_5649447359,blue,1370,TOP,False,13,1,4,2
42,뷰티플게이,Teemo,KR_5649351906,red,1230,TOP,False,14,3,4,1
43,뷰티플게이,Ryze,KR_5648572045,blue,1209,TOP,True,19,6,1,2
44,뷰티플게이,Yorick,KR_5648313462,blue,2216,TOP,True,24,14,7,9
45,뷰티플게이,Kayle,KR_5645197595,red,1500,TOP,True,17,5,3,7
46,뷰티플게이,Jax,KR_5645105112,red,929,TOP,False,12,0,4,3
47,뷰티플게이,Viego,KR_5644307102,blue,1499,JUNGLE,True,22,9,2,8
48,뷰티플게이,Viktor,KR_5644360159,red,1867,TOP,False,25,8,9,4
49,뷰티플게이,Gwen,KR_5639254628,red,1321,TOP,True,15,6,0,6
