,summonerName,championName,matchId,teamId,timePlayed,individualPosition,win,visionScore,assists,deaths,kills
0,서폿빼면브론즈,Pyke,KR_5697581900,blue,1364,UTILITY,True,78,8,1,9
1,서폿빼면브론즈,Pyke,KR_5697552917,blue,1388,UTILITY,True,58,18,5,2
2,서폿빼면브론즈,Rakan,KR_5697449244,red,1110,UTILITY,False,11,6,6,0
3,서폿빼면브론즈,Pyke,KR_5697452617,blue,1917,UTILITY,False,129,9,12,11
4,서폿빼면브론즈,Pyke,KR_5697329680,blue,1367,UTILITY,True,69,10,5,8
5,서폿빼면브론즈,Pyke,KR_5697306430,red,1144,UTILITY,False,17,5,11,2
6,서폿빼면브론즈,Pyke,KR_5697362248,blue,959,UTILITY,False,21,3,6,1
7,서폿빼면브론즈,Pyke,KR_5697235156,red,2109,UTILITY,False,101,7,12,4
8,서폿빼면브론즈,Pyke,KR_5697164575,red,1678,UTILITY,False,79,11,8,2
9,서폿빼면브론즈,Pyke,KR_5697101230,red,1357,UTILITY,False,80,5,8,5
10,서폿빼면브론즈,Pyke,KR_5697007993,blue,934,UTILITY,True,28,10,2,5
11,서폿빼면브론즈,Yuumi,KR_5697051624,red,2328,UTILITY,False,58,32,9,1
12,서폿빼면브론즈,Pyke,KR_5696938387,red,1808,UTILITY,False,116,8,8,1
13,서폿빼면브론즈,Pyke,KR_5696883034,red,1648,UTILITY,False,121,12,7,5
14,서폿빼면브론즈,Pyke,KR_5696827793,red,1948,UTILITY,False,100,13,9,1
15,서폿빼면브론즈,Pyke,KR_5695592760,red,2037,UTILITY,True,122,13,5,6
16,서폿빼면브론즈,Pyke,KR_5695522826,red,2000,UTILITY,True,135,14,5,9
17,서폿빼면브론즈,Pyke,KR_5695357894,blue,942,UTILITY,True,18,4,3,1
18,서폿빼면브론즈,Pyke,KR_5695371366,blue,1415,UTILITY,True,86,9,5,3
19,서폿빼면브론즈,Pyke,KR_5695173720,red,1901,UTILITY,True,122,15,5,11
20,서폿빼면브론즈,Pyke,KR_5694829381,red,1369,UTILITY,False,59,6,10,4
21,서폿빼면브론즈,Pyke,KR_5694747142,red,2047,UTILITY,True,144,14,4,15
22,서폿빼면브론즈,Pyke,KR_5694638661,blue,1993,UTILITY,True,117,7,7,8
23,서폿빼면브론즈,Pyke,KR_5694670962,red,1983,UTILITY,False,106,13,8,6
24,서폿빼면브론즈,Rakan,KR_5694488239,blue,1567,UTILITY,False,37,13,11,1
25,서폿빼면브론즈,Pyke,KR_5694455694,red,1576,UTILITY,False,79,7,8,2
26,서폿빼면브론즈,Pyke,KR_5694403743,blue,1858,UTILITY,False,93,7,12,8
27,서폿빼면브론즈,Pyke,KR_5692297906,blue,1446,UTILITY,True,76,3,6,2
28,서폿빼면브론즈,Pyke,KR_5692292238,red,2023,UTILITY,False,95,16,12,3
29,서폿빼면브론즈,Pyke,KR_5692066484,red,1417,UTILITY,True,57,8,8,5
30,서폿빼면브론즈,Pyke,KR_5692093541,red,1451,UTILITY,True,58,10,6,8
31,서폿빼면브론즈,Pyke,KR_5691939629,blue,1732,UTILITY,False,80,7,8,4
32,서폿빼면브론즈,Pyke,KR_5691937640,blue,1771,UTILITY,True,94,12,5,10
33,서폿빼면브론즈,Pyke,KR_5691083665,blue,1737,MIDDLE,False,19,4,5,8
34,서폿빼면브론즈,Pyke,KR_5690966211,red,2146,UTILITY,False,109,18,11,14
35,서폿빼면브론즈,Pyke,KR_5690849526,blue,1765,UTILITY,True,75,8,9,4
36,서폿빼면브론즈,Pyke,KR_5690863631,red,1759,UTILITY,True,104,13,6,1
37,서폿빼면브론즈,Pyke,KR_5690659796,blue,1611,UTILITY,False,87,11,9,3
38,서폿빼면브론즈,Pyke,KR_5690665762,red,1420,UTILITY,True,72,11,5,4
39,서폿빼면브론즈,Pyke,KR_5690620081,red,2279,UTILITY,True,150,9,7,7
40,서폿빼면브론즈,Pyke,KR_5690326145,red,1136,UTILITY,False,28,2,8,2
41,서폿빼면브론즈,Pyke,KR_5690277938,red,916,UTILITY,False,17,2,9,1
42,서폿빼면브론즈,Pyke,KR_5690313563,blue,1337,UTILITY,False,43,9,10,5
43,서폿빼면브론즈,Pyke,KR_5690218991,blue,1624,UTILITY,False,98,8,5,11
44,서폿빼면브론즈,Pyke,KR_5690194856,red,1297,UTILITY,False,36,2,10,0
45,서폿빼면브론즈,Pyke,KR_5690122992,red,916,UTILITY,True,26,11,2,1
46,서폿빼면브론즈,Pyke,KR_5690077883,red,1554,UTILITY,True,87,10,5,4
47,서폿빼면브론즈,Pyke,KR_5690114297,blue,1427,UTILITY,False,79,4,9,5
48,서폿빼면브론즈,Pyke,KR_5689939083,red,2109,UTILITY,False,118,9,10,2
