,summonerName,championName,matchId,teamId,timePlayed,individualPosition,win,visionScore,assists,deaths,kills
0,아쉬울뿐이야,Lulu,KR_5696177837,red,916,UTILITY,False,9,1,3,0
1,아쉬울뿐이야,Lulu,KR_5696122649,red,1545,UTILITY,True,67,13,5,3
2,아쉬울뿐이야,Lulu,KR_5696035850,blue,1686,UTILITY,False,48,9,7,1
3,아쉬울뿐이야,Lulu,KR_5695966259,red,1870,UTILITY,True,67,17,1,1
4,아쉬울뿐이야,Lulu,KR_5695884580,red,923,UTILITY,True,13,6,1,1
5,아쉬울뿐이야,Lulu,KR_5695804715,blue,2045,UTILITY,False,72,20,7,2
6,아쉬울뿐이야,Lulu,KR_5695752086,red,2410,UTILITY,True,112,26,1,1
7,아쉬울뿐이야,Lulu,KR_5695587352,blue,1631,UTILITY,True,61,22,1,3
8,아쉬울뿐이야,Lulu,KR_5695487095,blue,1784,UTILITY,True,54,15,3,1
9,아쉬울뿐이야,Xerath,KR_5695375501,red,1680,UTILITY,False,55,10,8,0
10,아쉬울뿐이야,Lulu,KR_5695205708,red,1081,UTILITY,True,13,10,2,0
11,아쉬울뿐이야,Amumu,KR_5695131556,blue,1125,UTILITY,True,27,6,4,2
12,아쉬울뿐이야,Lulu,KR_5694882286,blue,1479,UTILITY,True,54,17,6,3
13,아쉬울뿐이야,Pantheon,KR_5694747547,red,1168,UTILITY,False,16,1,9,1
14,아쉬울뿐이야,Lulu,KR_5694677680,blue,1568,UTILITY,False,50,9,5,1
15,아쉬울뿐이야,Lulu,KR_5694529915,red,2229,UTILITY,True,77,28,12,5
16,아쉬울뿐이야,Lulu,KR_5694535401,blue,1443,UTILITY,True,46,21,2,2
17,아쉬울뿐이야,Lulu,KR_5694427340,red,1711,UTILITY,True,66,17,6,0
18,아쉬울뿐이야,Lulu,KR_5694111224,blue,1501,UTILITY,False,42,3,8,0
19,아쉬울뿐이야,Pantheon,KR_5694065212,red,1324,UTILITY,False,48,7,8,1
20,아쉬울뿐이야,Lulu,KR_5694030008,blue,1424,UTILITY,False,41,6,6,2
21,아쉬울뿐이야,Lulu,KR_5693849291,blue,1562,UTILITY,True,64,19,2,1
22,아쉬울뿐이야,Pantheon,KR_5693746612,blue,2517,UTILITY,True,117,16,13,1
23,아쉬울뿐이야,Xerath,KR_5693596688,blue,2328,UTILITY,True,91,9,4,5
24,아쉬울뿐이야,Lulu,KR_5693268387,blue,1960,UTILITY,False,84,22,8,3
25,아쉬울뿐이야,Pantheon,KR_5693190083,blue,1303,UTILITY,False,51,6,5,0
26,아쉬울뿐이야,Lulu,KR_5693006299,red,1415,UTILITY,False,33,8,5,2
27,아쉬울뿐이야,Soraka,KR_5692460102,red,914,UTILITY,False,16,5,3,0
28,아쉬울뿐이야,Lulu,KR_5692365598,blue,1291,UTILITY,True,38,11,4,2
29,아쉬울뿐이야,Pantheon,KR_5692330619,red,1400,UTILITY,True,69,13,1,3
30,아쉬울뿐이야,Lulu,KR_5692007254,blue,2072,UTILITY,True,93,22,5,1
31,아쉬울뿐이야,Lulu,KR_5691709948,blue,1766,UTILITY,True,66,9,1,0
32,아쉬울뿐이야,Lulu,KR_5691049604,blue,1142,UTILITY,True,23,18,0,2
33,아쉬울뿐이야,Lulu,KR_5691093457,blue,1210,UTILITY,False,25,4,2,1
34,아쉬울뿐이야,Pantheon,KR_5690946960,blue,1954,UTILITY,True,74,12,7,3
35,아쉬울뿐이야,Lulu,KR_5689250602,blue,1230,UTILITY,False,38,2,5,0
36,아쉬울뿐이야,Lulu,KR_5685435906,red,2355,UTILITY,False,75,17,2,2
37,아쉬울뿐이야,Karma,KR_5685371811,blue,1106,UTILITY,True,20,10,4,0
38,아쉬울뿐이야,Lulu,KR_5685316977,blue,663,UTILITY,False,1,0,3,2
39,아쉬울뿐이야,Lulu,KR_5685311500,red,1079,UTILITY,False,11,4,3,0
40,아쉬울뿐이야,Lulu,KR_5685194750,blue,1244,UTILITY,True,34,7,2,2
41,아쉬울뿐이야,Lulu,KR_5683285346,red,1142,UTILITY,False,26,0,5,0
42,아쉬울뿐이야,Lulu,KR_5683157143,blue,1572,UTILITY,False,49,7,5,4
