,summonerName,championName,matchId,teamId,timePlayed,individualPosition,win,visionScore,assists,deaths,kills
0,안 헌,Nautilus,KR_5691933209,blue,1264,UTILITY,True,36,9,3,4
1,안 헌,Nautilus,KR_5691863182,blue,1594,UTILITY,False,61,6,6,2
2,안 헌,Nautilus,KR_5691931984,red,960,UTILITY,False,25,6,5,1
3,안 헌,Nautilus,KR_5691911324,blue,1734,UTILITY,False,78,13,6,2
4,안 헌,Nautilus,KR_5689773590,blue,2060,UTILITY,True,105,20,4,2
5,안 헌,Nautilus,KR_5689750809,blue,1410,UTILITY,False,41,10,8,2
6,안 헌,Nautilus,KR_5689705286,blue,1128,UTILITY,True,34,13,3,2
7,안 헌,Lux,KR_5689549653,blue,2121,UTILITY,False,89,21,11,3
8,안 헌,Nautilus,KR_5689534449,blue,1435,UTILITY,True,44,19,4,3
9,안 헌,Lux,KR_5689489219,red,939,UTILITY,True,21,9,1,3
10,안 헌,Lux,KR_5689514750,red,932,UTILITY,True,25,10,1,1
11,안 헌,Nautilus,KR_5689337968,red,1564,UTILITY,False,43,11,10,1
12,안 헌,Karma,KR_5689332892,red,963,UTILITY,True,22,6,1,1
13,안 헌,Nautilus,KR_5689245391,red,1681,UTILITY,True,61,23,6,1
14,안 헌,Nautilus,KR_5689098023,blue,1442,UTILITY,True,66,10,4,2
15,안 헌,Rakan,KR_5689031976,blue,1470,UTILITY,False,65,10,4,2
16,안 헌,Nautilus,KR_5688736440,blue,1508,UTILITY,True,64,13,6,6
17,안 헌,Nautilus,KR_5688811627,blue,998,UTILITY,False,24,2,4,1
18,안 헌,Nautilus,KR_5688646511,blue,1800,UTILITY,False,62,5,8,2
19,안 헌,Nautilus,KR_5688642024,red,1482,UTILITY,False,60,9,6,5
20,안 헌,Nautilus,KR_5688628216,red,1029,UTILITY,False,10,2,9,2
21,안 헌,Nautilus,KR_5688574963,red,1214,UTILITY,True,39,8,5,2
22,안 헌,Nautilus,KR_5688509709,blue,1455,UTILITY,True,59,12,2,2
23,안 헌,Nautilus,KR_5688507036,blue,920,UTILITY,True,18,9,1,0
24,안 헌,Karma,KR_5688452029,blue,1774,UTILITY,False,79,10,7,0
25,안 헌,Nautilus,KR_5688377938,red,1184,UTILITY,False,32,1,4,1
26,안 헌,Nautilus,KR_5688364778,red,1056,UTILITY,False,25,4,7,0
27,안 헌,Nautilus,KR_5688289979,blue,1641,UTILITY,True,46,15,4,1
28,안 헌,Nautilus,KR_5688232723,blue,1584,UTILITY,False,60,8,6,1
29,안 헌,Nautilus,KR_5685988373,red,1240,UTILITY,True,34,7,3,2
30,안 헌,Nautilus,KR_5686016836,blue,968,UTILITY,False,26,4,6,0
31,안 헌,Nautilus,KR_5684093467,red,911,UTILITY,True,24,2,0,0
32,안 헌,Nautilus,KR_5684057671,red,1586,UTILITY,False,50,14,8,2
33,안 헌,Nautilus,KR_5684026089,red,1376,UTILITY,True,63,18,4,3
34,안 헌,Nautilus,KR_5684023670,red,1346,UTILITY,True,38,5,6,1
35,안 헌,Nautilus,KR_5683971960,red,1670,UTILITY,False,79,3,11,0
36,안 헌,Rakan,KR_5683919097,blue,1384,UTILITY,True,52,13,2,0
37,안 헌,Nautilus,KR_5683888406,blue,1299,UTILITY,True,45,13,3,3
38,안 헌,Karma,KR_5683934379,red,1040,UTILITY,True,33,9,3,1
39,안 헌,Karma,KR_5683933624,blue,1452,UTILITY,False,53,5,7,1
40,안 헌,Karma,KR_5683864940,blue,1978,UTILITY,False,96,16,5,3
41,안 헌,Nautilus,KR_5683912422,red,1697,UTILITY,True,64,11,4,2
42,안 헌,Nautilus,KR_5683911645,blue,1693,UTILITY,False,53,10,8,2
43,안 헌,Nautilus,KR_5683871694,red,1760,UTILITY,True,76,14,7,3
