,summonerName,championName,matchId,teamId,timePlayed,individualPosition,win,visionScore,assists,deaths,kills
0,완소남 서깅,Thresh,KR_5697269538,red,1239,UTILITY,True,36,20,0,5
1,완소남 서깅,Thresh,KR_5697197005,blue,1621,UTILITY,False,57,9,9,0
2,완소남 서깅,Rakan,KR_5697173119,blue,1742,UTILITY,True,83,11,5,3
3,완소남 서깅,Rakan,KR_5697154236,blue,1982,UTILITY,True,124,17,11,2
4,완소남 서깅,Leona,KR_5697120396,red,1819,UTILITY,False,69,6,9,1
5,완소남 서깅,Thresh,KR_5696978710,red,1634,UTILITY,True,77,24,2,4
6,완소남 서깅,Thresh,KR_5696907560,red,1084,UTILITY,False,27,3,1,2
7,완소남 서깅,Thresh,KR_5696923337,blue,2075,UTILITY,False,85,11,8,0
8,완소남 서깅,Thresh,KR_5696921261,red,1272,UTILITY,False,42,4,3,1
9,완소남 서깅,Thresh,KR_5696808386,blue,1600,UTILITY,True,67,18,3,4
10,완소남 서깅,Thresh,KR_5696825477,blue,1589,UTILITY,True,52,13,3,5
11,완소남 서깅,Thresh,KR_5696756128,red,1666,UTILITY,True,62,18,7,0
