,summonerName,championName,matchId,teamId,timePlayed,individualPosition,win,visionScore,assists,deaths,kills
0,왼쪽 카르마,Xerath,KR_5697203501,blue,1149,UTILITY,False,17,0,6,0
1,왼쪽 카르마,Morgana,KR_5697137003,blue,1449,UTILITY,False,16,5,4,1
2,왼쪽 카르마,Xerath,KR_5696602855,blue,2221,UTILITY,True,51,21,15,9
3,왼쪽 카르마,Twitch,KR_5696590557,red,1575,BOTTOM,False,22,5,7,3
4,왼쪽 카르마,Nunu,KR_5696422308,blue,193,JUNGLE,True,0,0,0,0
5,왼쪽 카르마,LeeSin,KR_5696370654,blue,915,JUNGLE,False,14,0,2,0
6,왼쪽 카르마,Tristana,KR_5695550625,red,1427,MIDDLE,False,24,2,9,2
7,왼쪽 카르마,Twitch,KR_5694284798,blue,1058,MIDDLE,True,13,4,5,7
8,왼쪽 카르마,Corki,KR_5694213587,red,1423,MIDDLE,False,14,1,6,0
9,왼쪽 카르마,Poppy,KR_5694017680,red,1629,JUNGLE,False,25,12,6,1
10,왼쪽 카르마,Elise,KR_5692767765,red,1414,JUNGLE,False,9,3,6,4
11,왼쪽 카르마,Nunu,KR_5692507910,blue,1512,JUNGLE,True,18,19,0,7
12,왼쪽 카르마,FiddleSticks,KR_5692521577,blue,1593,JUNGLE,False,21,5,6,3
13,왼쪽 카르마,FiddleSticks,KR_5692427407,blue,1210,JUNGLE,False,22,2,3,3
14,왼쪽 카르마,FiddleSticks,KR_5692432197,red,1215,JUNGLE,False,32,3,6,3
15,왼쪽 카르마,Nunu,KR_5691772431,blue,1501,JUNGLE,True,25,9,4,13
16,왼쪽 카르마,LeeSin,KR_5691720110,blue,1592,JUNGLE,False,31,8,8,2
17,왼쪽 카르마,Twitch,KR_5691522490,red,1445,JUNGLE,True,29,9,7,7
18,왼쪽 카르마,Nunu,KR_5691355398,blue,1002,JUNGLE,False,14,2,6,1
19,왼쪽 카르마,Viego,KR_5690954174,blue,1217,JUNGLE,False,15,6,6,5
