,summonerName,championName,matchId,teamId,timePlayed,individualPosition,win,visionScore,assists,deaths,kills
0,점멸드는 고양이,Yuumi,KR_5697074625,red,1180,UTILITY,False,34,4,7,2
1,점멸드는 고양이,Yuumi,KR_5697027132,red,1810,UTILITY,True,73,18,6,0
2,점멸드는 고양이,Yuumi,KR_5696975469,red,1595,UTILITY,True,64,14,1,2
3,점멸드는 고양이,Yuumi,KR_5696929221,red,1997,UTILITY,True,90,21,5,8
4,점멸드는 고양이,Yuumi,KR_5696878430,blue,1404,UTILITY,True,56,13,1,1
5,점멸드는 고양이,Yuumi,KR_5696952140,red,1926,UTILITY,True,108,20,6,2
6,점멸드는 고양이,Yuumi,KR_5696900120,red,1909,UTILITY,True,94,26,1,1
7,점멸드는 고양이,Yuumi,KR_5696759713,red,947,UTILITY,False,19,5,3,1
8,점멸드는 고양이,Yuumi,KR_5696649243,red,1337,UTILITY,False,57,6,3,1
9,점멸드는 고양이,Blitzcrank,KR_5696750995,blue,1660,UTILITY,False,61,7,12,1
10,점멸드는 고양이,Yuumi,KR_5696618643,red,1357,JUNGLE,True,62,14,3,3
11,점멸드는 고양이,Yuumi,KR_5696598267,red,977,UTILITY,True,29,10,0,2
12,점멸드는 고양이,Yuumi,KR_5696547844,red,1445,UTILITY,True,51,27,1,4
13,점멸드는 고양이,Yuumi,KR_5696555634,red,1262,UTILITY,True,44,15,2,2
14,점멸드는 고양이,Blitzcrank,KR_5696553625,red,913,UTILITY,True,20,6,1,3
15,점멸드는 고양이,Yuumi,KR_5696458153,blue,1771,UTILITY,True,79,17,1,2
16,점멸드는 고양이,Yuumi,KR_5696436229,red,964,UTILITY,True,35,8,0,2
17,점멸드는 고양이,Yuumi,KR_5696432152,red,1705,UTILITY,False,65,17,5,1
18,점멸드는 고양이,Yuumi,KR_5695546654,blue,1468,JUNGLE,False,57,9,7,2
19,점멸드는 고양이,Lulu,KR_5695482417,red,1376,UTILITY,True,58,11,1,1
