,summonerName,championName,matchId,teamId,timePlayed,individualPosition,win,visionScore,assists,deaths,kills
0,최선을다해서하자,Braum,KR_5697237246,blue,1590,UTILITY,True,69,17,3,0
1,최선을다해서하자,Karma,KR_5696751938,blue,1449,UTILITY,False,50,6,7,2
2,최선을다해서하자,Thresh,KR_5696751428,red,1293,UTILITY,False,33,7,5,1
3,최선을다해서하자,Leona,KR_5696598487,red,1994,UTILITY,True,88,16,5,1
4,최선을다해서하자,Leona,KR_5696656198,blue,1472,UTILITY,True,50,9,6,0
5,최선을다해서하자,Leona,KR_5696644034,blue,1811,UTILITY,False,54,12,6,2
6,최선을다해서하자,Thresh,KR_5696554100,red,1395,UTILITY,True,41,17,4,2
7,최선을다해서하자,Nautilus,KR_5696389309,red,2139,UTILITY,True,86,22,11,3
8,최선을다해서하자,Rakan,KR_5696455305,red,1156,UTILITY,True,62,10,3,0
9,최선을다해서하자,Thresh,KR_5696440807,red,1842,UTILITY,True,68,24,4,3
10,최선을다해서하자,Yuumi,KR_5696246721,blue,1716,UTILITY,False,37,8,5,0
11,최선을다해서하자,Leona,KR_5696183894,blue,1398,UTILITY,False,55,2,3,0
12,최선을다해서하자,Leona,KR_5696125016,blue,1668,UTILITY,True,60,17,9,5
13,최선을다해서하자,Yuumi,KR_5696009268,blue,1325,UTILITY,False,25,6,4,3
14,최선을다해서하자,Nautilus,KR_5696011676,blue,1505,UTILITY,False,64,9,3,3
15,최선을다해서하자,Karma,KR_5695690934,red,954,UTILITY,True,27,4,1,0
16,최선을다해서하자,Yuumi,KR_5695092041,red,1311,UTILITY,False,23,3,3,1
17,최선을다해서하자,Rakan,KR_5694739301,blue,1998,UTILITY,True,110,17,4,2
18,최선을다해서하자,Yuumi,KR_5694742112,red,1516,UTILITY,False,34,7,3,2
19,최선을다해서하자,Leona,KR_5694547339,red,2000,UTILITY,True,83,15,9,2
20,최선을다해서하자,Karma,KR_5694561648,blue,1658,UTILITY,True,56,15,2,3
21,최선을다해서하자,Karma,KR_5694476934,blue,2085,UTILITY,True,83,12,5,1
22,최선을다해서하자,Yuumi,KR_5694444544,blue,1186,UTILITY,False,12,3,9,0
23,최선을다해서하자,Yuumi,KR_5694471526,blue,1675,UTILITY,True,48,23,5,4
24,최선을다해서하자,Leona,KR_5694379500,blue,1524,UTILITY,False,42,7,4,1
25,최선을다해서하자,Leona,KR_5694367993,red,916,UTILITY,False,14,3,1,1
26,최선을다해서하자,Nautilus,KR_5694306467,red,1941,UTILITY,True,82,9,5,0
27,최선을다해서하자,Leona,KR_5692966126,blue,1878,UTILITY,False,64,19,8,2
28,최선을다해서하자,Leona,KR_5692899215,red,1678,UTILITY,True,78,17,6,0
29,최선을다해서하자,Rakan,KR_5692738174,blue,1255,UTILITY,True,52,18,0,0
30,최선을다해서하자,Yuumi,KR_5692648482,blue,1589,UTILITY,False,37,5,4,3
31,최선을다해서하자,Leona,KR_5692623924,blue,1216,UTILITY,True,33,7,3,1
32,최선을다해서하자,Leona,KR_5692557165,blue,1479,UTILITY,False,51,2,9,4
33,최선을다해서하자,Leona,KR_5691799623,blue,1730,UTILITY,False,75,17,2,4
34,최선을다해서하자,Yuumi,KR_5691778453,blue,1182,UTILITY,True,33,12,1,2
35,최선을다해서하자,Lulu,KR_5691756166,red,1437,UTILITY,True,53,17,1,1
36,최선을다해서하자,Leona,KR_5691772468,blue,1581,UTILITY,True,71,18,2,4
37,최선을다해서하자,Nautilus,KR_5691707889,red,1639,UTILITY,True,53,10,3,1
38,최선을다해서하자,Yuumi,KR_5691632505,blue,2361,UTILITY,True,78,19,4,0
39,최선을다해서하자,Thresh,KR_5691597176,red,1176,UTILITY,False,27,6,5,0
40,최선을다해서하자,Leona,KR_5690967985,blue,2132,UTILITY,False,91,9,7,0
41,최선을다해서하자,Leona,KR_5690914268,red,1284,UTILITY,True,47,9,2,0
42,최선을다해서하자,Thresh,KR_5690818919,blue,1502,UTILITY,False,53,11,8,2
43,최선을다해서하자,Leona,KR_5690902617,red,1536,UTILITY,False,73,5,5,0
44,최선을다해서하자,Leona,KR_5690628233,blue,1826,UTILITY,True,77,18,6,2
45,최선을다해서하자,Karma,KR_5690017135,blue,1563,UTILITY,True,54,11,6,1
46,최선을다해서하자,Jhin,KR_5689935890,red,1202,BOTTOM,False,9,4,7,3
47,최선을다해서하자,Karma,KR_5689952997,blue,1176,UTILITY,True,51,12,1,4
48,최선을다해서하자,Nautilus,KR_5689884760,red,1524,UTILITY,True,51,12,3,3
49,최선을다해서하자,Karma,KR_5689874045,red,1883,UTILITY,False,74,20,7,2
