,summonerName,championName,matchId,teamId,timePlayed,individualPosition,win,visionScore,assists,deaths,kills
0,큐티데빌,Yuumi,KR_5688426677,red,979,UTILITY,True,28,9,0,1
1,큐티데빌,Yuumi,KR_5688351422,red,2105,UTILITY,False,70,29,6,1
2,큐티데빌,Yuumi,KR_5688327416,red,1359,UTILITY,False,15,8,5,1
3,큐티데빌,Yuumi,KR_5684562197,blue,2201,UTILITY,True,58,22,7,4
4,큐티데빌,Yuumi,KR_5684485769,red,2080,UTILITY,True,60,31,4,3
5,큐티데빌,Braum,KR_5684397856,blue,1369,UTILITY,False,25,8,11,0
6,큐티데빌,Yuumi,KR_5684423200,blue,1471,UTILITY,True,43,7,2,4
7,큐티데빌,Yuumi,KR_5684347508,blue,1597,UTILITY,True,38,24,1,1
8,큐티데빌,Yuumi,KR_5684322766,blue,1971,UTILITY,False,41,8,7,1
9,큐티데빌,Yuumi,KR_5682462089,blue,1673,UTILITY,False,42,9,3,0
10,큐티데빌,Yuumi,KR_5682319167,red,1320,UTILITY,False,15,2,3,0
11,큐티데빌,Braum,KR_5682353096,red,1866,UTILITY,False,43,22,8,3
12,큐티데빌,Yuumi,KR_5682320615,blue,1310,UTILITY,False,25,5,3,1
